,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
32,Physical,Horizon,BOOK,2007,12,1,Italian salt free diet cookbook,,"Cookery Italian, Salt free diet Recipes",,
33,Physical,Horizon,BOOK,2007,12,1,The scientific revolution and the origins of modern science / John Henry.,"Henry, John","Science History, Science Methodology, Science Philosophy","Palgrave,",2001.
34,Physical,Horizon,BOOK,2007,12,2,Paper jewelry,,"Origami Juvenile literature, Jewelry making Juvenile literature",,
35,Physical,Horizon,MIXED,2007,12,2,ILLM Drakiula,,,,
36,Physical,Horizon,BOOK,2007,12,3,"Storm world : hurricanes, politics, and the battle over global warming / Chris Mooney.","Mooney, Chris (Chris C.)","Hurricanes, Hurricanes Social aspects, Global warming Political aspects, Climatology","Harcourt,",c2007.
37,Physical,Horizon,BOOK,2007,12,1,Let's look at fall / by Sarah L. Schuette.,"Schuette, Sarah L., 1976-","Animal behavior Juvenile literature, Autumn Juvenile literature, Animals Habits and behavior","Capstone Press,",2007.
38,Physical,Horizon,BOOK,2007,12,1,Midnight rain,,"Love stories, Suspense fiction",,
39,Physical,Horizon,BOOK,2007,12,3,Safari in South Africa,,"Wildlife conservation, Wildlife conservation Juvenile literature, Game reserves Africa Juvenile literature, Animal ecology Africa Juvenile literature",,
40,Physical,Horizon,BOOK,2007,12,2,collected poems of Frank OHara,,"City and town life New York State New York Poetry, New York N Y Social life and customs 20th century Poetry",,
41,Physical,Horizon,BOOK,2007,12,1,Stranger from Somewhere in Time,,"Friendship Fiction, Tricks Fiction, Time capsules Fiction",,
42,Physical,Horizon,BOOK,2007,12,1,Viét lên trời xanh / Hoàng Khởi Phong.,"Hoàng, Khởi Phong, 1943-",,"Văn Khoa,",1996.
43,Physical,Horizon,VIDEOCASS,2007,12,11,Mulholland Dr,,"Detective and mystery films, Video recordings for the hearing impaired, Feature films",,
44,Physical,Horizon,BOOK,2007,12,1,Not Bartletts thoughts on the pleasures of life people love gardens dogs and more,,"Happiness Quotations maxims etc, Pleasure Quotations maxims etc",,
45,Physical,Horizon,BOOK,2007,12,1,"The global soul : jet lag, shopping malls, and the search for home / Pico Iyer.","Iyer, Pico","Iyer Pico Travel, Voyages and travels, Popular culture, Internationalism, Technological innovations Social aspects","Knopf : Distributed by Random House, Inc.,",2000.
46,Physical,Horizon,BOOK,2007,12,4,Marmalade boy 2,,"Comic books strips etc, Graphic novels",,
47,Physical,Horizon,BOOK,2007,12,1,womans belly book finding your true center for more energy confidence and pleasure,,"Women Health and hygiene, Yoga",,
48,Physical,Horizon,BOOK,2007,12,5,Superman returns the movie and other tales of the man of steel,,"Graphic novels, Science fiction comic books strips etc, Superhero comic books strips etc, Superman Fictitious character Comic books strips etc, Heroes Comic books strips etc, Good and evil Comic books strips etc",,
49,Physical,Horizon,VIDEODISC,2007,12,1,educaci¢n,,"Education United States, Immigrants Education United States, Children of immigrants Education United States, Educational videos",,
50,Physical,Horizon,BOOK,2007,12,3,Meditation,,Meditation,,
51,Physical,Horizon,BOOK,2007,12,1,Maria Rodales organic gardening your seasonal companion to creating a beautiful and delicious garden,,"Landscape gardening, Organic gardening, Gardens Design, Seasons",,
52,Physical,Horizon,BOOK,2007,12,1,Between midnight and day : the last unpublished blues archive / Dick Waterman.,"Waterman, Dick","Blues Music History and criticism, Blues musicians","Thunder's Mouth Press,",c2003.
53,Physical,Horizon,BOOK,2007,12,5,prince of tennis Vol 12 Invincible man,,"Comic books strips etc, Graphic novels, Young men Comic books strips etc, Competition Psychology Comic books strips etc, Tennis Comic books strips etc",,
54,Physical,Horizon,BOOK,2007,12,2,McGraw Hills GED the most complete and reliable study program for the GED tests,,"General educational development tests Study guides, High school equivalency examinations Study guides",,
55,Physical,Horizon,VIDEODISC,2007,12,6,Abba gold greatest hits,,Popular music 1971 1980,,
56,Physical,Horizon,BOOK,2007,12,3,book of story beginnings,,"Magic Fiction, Space and time Fiction, Authorship Fiction, Storytelling Fiction",,
57,Physical,Horizon,BOOK,2007,12,1,last shot city streets basketball dreams,,"Abraham Lincoln High School New York N Y Basketball, Basketball Social aspects New York State New York, Youth New York State New York Recreation",,
58,Physical,Horizon,BOOK,2007,12,1,"Harper Collins Italian concise dictionary [editors, Gabriella Bacchelli ... et al.].",,"Italian language Dictionaries English, English language Dictionaries Italian","HarperCollins,",1995.
59,Physical,Horizon,BOOK,2007,12,8,One piece Vol 13 Its all right,,"Comic books strips etc, Graphic novels, Pirates Comic books strips etc, Treasure troves Comic books strips etc",,
60,Physical,Horizon,BOOK,2007,12,1,Procol Harum : beyond the pale / Claes Johansen.,"Johansen, Claes, 1957-",,"SAF,",2000.
61,Physical,Horizon,BOOK,2007,12,1,Submit now designing persuasive websites,,"Internet advertising, Web sites Design",,
62,Physical,Horizon,BOOK,2007,12,1,"Story s-t-r-e-t-c-h-e-r-s for infants, toddlers, and twos : experiences, activities, and games for popular children's books / Shirley Raines, Karen Miller, and Leah Curry-Rood ; illustrations by Kathy Dobbs.","Raines, Shirley C.","Early childhood education Activity programs, Children Books and reading","Gryphon House,",c2002.
63,Physical,Horizon,BOOK,2007,12,7,American diva,,Love stories,,
64,Physical,Horizon,BOOK,2007,12,2,Start your own import export business your step by step guide to success,,"Imports United States, Exports United States, New business enterprises United States Management, Trading companies United States Management",,
65,Physical,Horizon,BOOK,2007,12,2,Old Christmas / by Washington Irving ; illustrated by Randolph Caldecott ; with a foreword by John Langstaff.,"Irving, Washington, 1783-1859",Christmas stories,"Chapman Billies,",c1996.
66,Physical,Horizon,BOOK,2007,12,1,Join in multiethnic short stories by outstanding writers for young adults,,"Short stories, Short stories American",,
67,Physical,Horizon,SOUNDDISC,2007,12,11,shade of poison trees,,Rock music 2001 2010,,
68,Physical,Horizon,SOUNDDISC,2007,12,4,Billie Holiday Lester Young a musical romance,,"Jazz, Jazz vocals, Saxophone music Jazz",,
69,Physical,Horizon,BOOK,2007,12,3,Artists color manual the complete guide to working with color,,"Color in art, Colors",,
70,Physical,Horizon,BOOK,2007,12,1,All the blue moons at the Wallace Hotel,,"Sisters Fiction, Death Fiction, Fathers Fiction, Ballet dancing Fiction",,
71,Physical,Horizon,BOOK,2007,12,5,Harte's desire / Cynthia Harrod-Eagles.,"Harrod-Eagles, Cynthia",Neighbors Fiction,"Severn House,","2008, c2007."
72,Physical,Horizon,BOOK,2007,12,1,Fifty years of war and diplomacy in the Balkans Pashich and the union of the Yugoslavs,,"Eastern question Balkan, Serbia History, Yugoslavia History 1918 1945, Pashilavia History 1918 1945",,
73,Physical,Horizon,KIT,2007,12,1,Friends,,Friendship Fiction,,
74,Physical,Horizon,VIDEOCASS,2007,12,2,Hans Christian Andersens The Emperors new clothes,,"Video recordings for the hearing impaired, Childrens films, Clothing and dress Fiction, Contests Fiction, Tailors Fiction",,
75,Physical,Horizon,MUSIC,2007,12,8,A treasury of Christmas songs [music] : twenty-five favorites to sing and play / music arranged and edited by Dan Fox ; [text by Carolyn Vaughan].,,"Christmas music, Carols","Metropolitan Museum of Art : H. Holt and Co.,",c2004.
76,Physical,Horizon,MIXED,2007,12,1,ILLM Problems in mathematical analysis v 2,,,,
77,Physical,Horizon,BOOK,2007,12,1,Rossini / Gaia Servadio.,"Servadio, Gaia","Rossini Gioacchino 1792 1868, Composers Italy Biography","Carroll & Graf Publishers,",2003.
78,Physical,Horizon,VIDEODISC,2007,12,7,Buried treasures,,"Dinosaurs Juvenile films, Video recordings for the hearing impaired, Childrens films, Mummies Egypt Juvenile films, Egypt Antiquities Juvenile films, Fossils Collection and preservation Juvenile films",,
79,Physical,Horizon,BOOK,2007,12,17,"Junie B., first grader : toothless wonder / Barbara Park ; illustrated by Denise Brunkus.","Park, Barbara","Teeth Juvenile fiction, Tooth Fairy Fiction","Random House,",2002.
80,Physical,Horizon,BOOK,2007,12,1,father factor how your fathers legacy impacts your career,,"Self evaluation, Psychology Industrial, Socialization, Parental influences, Fatherhood Psychological aspects, Career development Psychological aspects",,
81,Physical,Horizon,BOOK,2007,12,1,Othello 4,,"Comic books strips etc, Graphic novels, Teenagers Comic books strips etc, High school students Comic books strips etc",,
82,Physical,Horizon,BOOK,2007,12,1,Sebastian : a book about Bach / Jeanette Winter.,"Winter, Jeanette","Bach Johann Sebastian 1685 1750 Juvenile literature, Composers Germany Biography Juvenile literature, Composers Juvenile literature","Harcourt Brace,",c1999.
83,Physical,Horizon,BOOK,2007,12,3,One more for the road a new story collection,,,,
84,Physical,Horizon,BOOK,2007,12,1,Les enchantements de Merlin / adapté par François Johan ; illustrations de Raymond Monneins.,"Johan, François, 1946-","Merlin Legendary character Legends Juvenile fiction, Arthurian romances, Arthurian romances Fiction, French language materials Fiction","Casterman,",c1980.
85,Physical,Horizon,BOOK,2007,12,14,Piggie pie / by Margie Palatini ; illustrated by Howard Fine.,"Palatini, Margie","Witches Fiction, Domestic animals Juvenile fiction, Humorous stories","Clarion Books,",c1995.
86,Physical,Horizon,VIDEODISC,2007,12,15,Animatrix,,"Science fiction films, Video recordings for the hearing impaired, Feature films, Anime Japan",,
87,Physical,Horizon,SOUNDDISC,2007,12,10,original Bad Co anthology,,"Rock music 1971 1980, Rock music 1981 1990",,
88,Physical,Horizon,BOOK,2007,12,12,Dragon rider / Cornelia Funke ; translated by Anthea Bell.,"Funke, Cornelia Caroline","Fantasy Fiction, Dragons Juvenile fiction, Animals Mythical Juvenile fiction","Scholastic,",2004.
89,Physical,Horizon,BOOK,2007,12,1,Preparing for power : Oliver Tambo speaks / foreword by Nelson Mandela ; compiled by Adelaide Tambo.,"Tambo, Oliver, 1917-1993","African National Congress History, Apartheid South Africa History, Blacks South Africa Politics and government, South Africa Politics and government","G. Braziller,","1988, c1987."
90,Physical,Horizon,BOOK,2007,12,1,Granddaddys street songs,,"Grandfathers Fiction, Peddlers and peddling Fiction",,
91,Physical,Horizon,VIDEODISC,2007,12,8,stranger wore a gun,,"Video recordings for the hearing impaired, Feature films, Stagecoach lines Arizona Drama, Man woman relationships Arizona Drama",,
92,Physical,Horizon,BOOK,2007,12,2,"Samurai executioner. [Vol. 2. Two bodies, two minds] / story, Kazuo Koike ; art, Goseki Kojima ; [translation, Dana Lewis and Mark Miyake].","Koike, Kazuo, 1936-","Samurai Comic books strips etc, Comic books strips etc, Graphic novels","Dark Horse Manga,",2004.
93,Physical,Horizon,BOOK,2007,12,2,Mew is for murder / Clea Simon.,"Simon, Clea","Freelance journalism Fiction, Cats Fiction, Cambridge Mass Fiction, Mystery fiction","Poisoned Pen Press,",2005.
94,Physical,Horizon,BOOK,2007,12,1,"Between tedium and terror : a soldier's World War II diary, 1943-45 / Sy M. Kahn ; foreword by Ronald Spector.","Kahn, Sy Myron, 1924-","Kahn Sy Myron 1924, United States Army Biography, World War 1939 1945 Campaigns Pacific Area, World War 1939 1945 Personal narratives American, Soldiers United States Diaries, Washington Authors Collection","University of Illinois Press,",c1993.
95,Physical,Horizon,BOOK,2007,12,2,I am a skater,,"Ice skaters, Women Biography, Skaters United States Biography Juvenile literature, Hughes Emily 1989 Juvenile literature, Hughes Emily 1989 Pictorial works Juvenile literature, Hughes Emily 1989",,
96,Physical,Horizon,BOOK,2007,12,3,Merry Christmas baby,,"Erotic stories American, Short stories American, Love stories American, Women Fiction",,
97,Physical,Horizon,BOOK,2007,12,1,stars can wait a novel,,"War stories, Historical fiction, Domestic fiction, Brothers Fiction, Teenage boys Fiction, World War 1939 1945 Silesia Upper Poland and Czech Republic Fiction, Silesia Upper Poland and Czech Republic Fiction",,
98,Physical,Horizon,VIDEODISC,2007,12,1,"Courtyard makeover [videorecording] / producer, director, Scott Gardner.",,"Patios, Porches, Hot tubs","Film Ideas,",2004.
99,Physical,Horizon,BOOK,2007,12,2,Burger Wuss,,"Humorous stories, Restaurants Fiction, Bullies Fiction, Self acceptance Fiction, Fast food restaurants Fiction",,
100,Digital,OverDrive,AUDIOBOOK,2007,12,1,"Darkfever: Fever Series, Book 1 (unabridged) (Unabridged)",Karen Marie Moning,"Fantasy, Fiction","Brilliance Audio, Inc.",2006
101,Physical,Horizon,BOOK,2007,12,1,"The Faber report : CNBC's ""The Brain"" tells you how Wall Street really works and how you can make it work for you / David Faber with Ken Kurson.","Faber, David, reporter.","New York Stock Exchange, Stocks, Portfolio management, Stock exchanges New York State, Finance Personal","Little, Brown and Co.,",c2002.
102,Physical,Horizon,BOOK,2007,12,1,Mother of the groom : everything you need to know to enjoy the best wedding ever / Sharon Naylor.,"Naylor, Sharon","Weddings Planning, Wedding etiquette, Mothers and sons","Citadel Press,",c2005.
103,Physical,Horizon,SOUNDDISC,2007,12,10,Elliott Yamin,,Popular music 2001 2010,,
104,Physical,Horizon,BOOK,2007,12,1,"100 years of Western wear / Tyler Beard ; Jim Arndt, photographer.","Beard, Tyler, 1954-",Costume West U S History,"Gibbs-Smith Publisher,",1993.
105,Physical,Horizon,BOOK,2007,12,2,One pot meals for people with diabetes,,"Quick and easy cookery, Diabetes Diet therapy Recipes",,
106,Physical,Horizon,BOOK,2007,12,1,Competitive strategy : techniques for analyzing industries and competitors : with a new introduction / Michael E. Porter.,"Porter, Michael E., 1947-","Competition, Industrial management","Free Press,",1998.
